Date,Daily Mean PM2.5 Concentration,Units,Daily AQI Value
09-09-2022,21.5,ug/m3 LC,74
10-09-2022,15.7,ug/m3 LC,63
11-09-2022,14.6,ug/m3 LC,61
12-09-2022,13.3,ug/m3 LC,59
13-09-2022,4.9,ug/m3 LC,27
14-09-2022,7.4,ug/m3 LC,41
15-09-2022,8.3,ug/m3 LC,46
16-09-2022,8,ug/m3 LC,44
17-09-2022,4.6,ug/m3 LC,26
18-09-2022,2.3,ug/m3 LC,13
19-09-2022,3.3,ug/m3 LC,18
20-09-2022,4.2,ug/m3 LC,23
21-09-2022,4.6,ug/m3 LC,26
22-09-2022,6.7,ug/m3 LC,37
23-09-2022,7.7,ug/m3 LC,43
24-09-2022,7.5,ug/m3 LC,42
25-09-2022,8.8,ug/m3 LC,49
26-09-2022,7.3,ug/m3 LC,41
27-09-2022,6.8,ug/m3 LC,38
28-09-2022,3.7,ug/m3 LC,21
29-09-2022,6.4,ug/m3 LC,36
30-09-2022,7.6,ug/m3 LC,42
01-10-2022,6.5,ug/m3 LC,36
02-10-2022,5.2,ug/m3 LC,29
03-10-2022,6,ug/m3 LC,33
04-10-2022,7.6,ug/m3 LC,42
05-10-2022,7,ug/m3 LC,39
06-10-2022,7.4,ug/m3 LC,41
07-10-2022,5.9,ug/m3 LC,33
08-10-2022,7.5,ug/m3 LC,42
09-10-2022,5.1,ug/m3 LC,28
10-10-2022,7.7,ug/m3 LC,43
11-10-2022,13.1,ug/m3 LC,58
12-10-2022,10.4,ug/m3 LC,53
13-10-2022,3.9,ug/m3 LC,22
14-10-2022,7.6,ug/m3 LC,42
15-10-2022,8.5,ug/m3 LC,47
16-10-2022,11,ug/m3 LC,55
17-10-2022,9.7,ug/m3 LC,52
18-10-2022,13,ug/m3 LC,58
19-10-2022,10.8,ug/m3 LC,54
20-10-2022,13,ug/m3 LC,58
21-10-2022,15.2,ug/m3 LC,62
22-10-2022,7.2,ug/m3 LC,40
23-10-2022,4.3,ug/m3 LC,24
