"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,38337032,1,38413498
2020,38337033,1,38413499
2020,38337035,1,38413501
2020,38337038,1,38413505
2020,38337040,1,38413507
2020,38337041,1,38413508
2020,38337042,1,38413509
2020,38337044,1,38413511
2020,38337046,1,38413513
2020,38337045,1,38413512
2020,38337049,1,38413516
2020,38337052,1,38413519
2020,38337053,1,38413520
2020,38337055,1,38413522
2020,38337056,3,38413523
2020,38337057,1,38413524
2020,38337059,1,38413526
2020,38337061,1,38413528
2020,38337065,1,38413532
2020,38337066,3,38413533
2020,38337068,1,38413535
2020,38337069,1,38413536
2020,38337070,1,38413537
2020,38337072,1,38413539
2020,38337073,1,38413540
2020,38337075,1,38413542
2020,38337077,1,38413544
2020,38337081,1,38413548
2020,38337082,1,38413549
2020,38337086,3,38413553
2020,38337087,1,38413554
2020,38337089,1,38413556
2020,38337088,1,38413555
2020,38337091,1,38413558
2020,38337092,1,38413559
2020,38337093,1,38413560
2020,38337098,7,38413565
2020,38337106,1,38413573
2020,38337107,1,38413574
2020,38337108,7,38413575
2020,38337110,1,38413577
2020,38337111,1,38413578
2020,38337115,1,38413582
2020,38337117,1,38413584
2020,38337119,1,38413586
2020,38337122,1,38413589
2020,38337123,1,38413590
2020,38337127,1,38413594
2020,38337128,1,38413595
2020,38337131,1,38413598
2020,38337132,1,38413599
2020,38337137,1,38413604
2020,38337139,1,38413606
2020,38337146,1,38413613
2020,38337148,1,38413615
2020,38337150,1,38413617
2020,38337151,1,38413618
2020,38337158,1,38413625
2020,38337161,1,38413628
2020,38337163,1,38413630
2020,38337164,1,38413631
2020,38337167,2,38413634
2020,38337168,1,38413635
2020,38337170,1,38413637
2020,38337171,1,38413638
2020,38337172,7,38413639
2020,38337176,1,38413643
2020,38337178,1,38413645
2020,38337177,1,38413644
2020,38337184,1,38413651
2020,38337183,8,38413650
2020,38337185,22,38413652
2020,38337186,1,38413653
2020,38337187,1,38413654
2020,38337188,1,38413655
2020,38337189,1,38413656
2020,38337190,1,38413657
2020,38337191,1,38413658
2020,38337192,3,38413659
2020,38337193,1,38413660
2020,38337194,1,38413661
2020,38337195,1,38413662
2020,38337196,1,38413663
2020,38337197,1,38413664
2020,38337198,1,38413665
2020,38337200,1,38413667
2020,38337199,1,38413666
2020,38337201,1,38413668
2020,38337203,1,38413670
2020,38337204,3,38413671
2020,38337205,7,38413672
2020,38337206,1,38413673
2020,38337207,7,38413674
2020,38337208,7,38413675
2020,38337209,1,38413676
2020,38337211,1,38413678
2020,38781788,2,38927382
2020,38781818,1,38942095
2020,38781828,1,38942102
2020,38781823,1,38942099
2020,38759442,1,38942131
2020,38759443,1,38927453
2020,41360971,1,41746625
2020,41358033,21,41751040
2020,41360983,1,41746638
2020,41360987,1,41746642
2020,41360988,1,41746643
2020,41360995,1,41746651
2020,41358043,1,41751050
2020,41361013,1,41746668
2020,41361012,1,41746667
2020,41361019,1,41746674
2020,41358057,1,41751062
2020,41361022,1,41746679
2020,41361025,1,41746682
2020,41361046,1,41746705
2020,41358070,1,41751073
2020,41361091,1,41746749
2020,41361097,1,41746754
2020,41361123,1,41746777
2020,41361210,7,41746864
2020,41361215,1,41746868
2020,41361217,1,41746870
2020,41361222,1,41746875
2020,41358114,1,41751122
2020,41361233,1,41746887
2020,41358115,1,41751123
2020,41361336,1,41746989
2020,41361343,1,41746996
2020,41319038,1,41710069
2020,41319041,1,41706930
2020,41314384,1,41706955
2020,41319086,1,41706973
2020,41314406,1,41710114
2020,41319089,1,41710115
2020,41734892,1,42137985
2020,41734894,1,42133035
2020,41732665,1,42137986
2020,41734893,1,42137988
2020,41734902,1,42133045
2020,41732673,1,42137992
2020,41734922,1,42138018
2020,41732721,1,42133090
2020,41732728,1,42133099
2020,38209837,1,38270270
2020,38209835,1,38270268
2020,39253701,1,39474185
2020,39263036,1,39474212
2020,39253725,1,39474216
2020,41360523,1,41746169
2020,41360526,1,41746175
2020,41357422,1,41750436
2020,41357437,1,41750450
2020,41360587,1,41750522
2020,41357512,1,41750529
2020,41357519,1,41746242
2020,41360602,1,41746250
2020,41357524,1,41746254
2020,41360626,1,41746275
2020,41360629,1,41746278
2020,41360631,22,41750577
2020,41357574,1,41750589
2020,41360652,1,41750608
2020,41357598,1,41750611
2020,41360669,1,41746316
2020,41357627,1,41750647
2020,41360756,1,41746397
2020,41360768,1,41746411
2020,41360771,1,41750766
2020,41357774,1,41750789
2020,41360785,3,41746433
2020,41357778,1,41750793
2020,41360816,1,41746467
2020,41360840,1,41746497
2020,41357875,1,41750877
2020,41357874,1,41750876
2020,41357889,1,41750892
2020,41357913,1,41750913
2020,41360876,1,41746541
2020,41357923,1,41750924
2020,41360882,1,41750925
2020,41360884,1,41746545
2020,41360887,1,41750939
2020,41357944,1,41750945
2020,41360914,1,41746572
2020,41360929,1,41746584
2020,41360935,1,41750991
2020,41357985,1,41750992
2020,41361357,1,41747010
2020,41361372,1,41751159
2020,41358153,1,41747028
2020,41361453,1,41747108
2020,41361510,1,41747160
2020,41358200,1,41751213
2020,41361564,1,41747211
2020,41358225,1,41751245
2020,41361675,1,41747315
2020,41361683,1,41747322
2020,41361756,1,41747391
2020,41358254,1,41751281
2020,41361775,1,41747408
2020,41358258,1,41751287
2020,38209832,1,38270266
2020,38209833,1,38270267
2020,41360972,1,41746626
2020,41358272,1,41751302
2020,41358275,1,41751305
2020,41358276,1,41747431
2020,41358278,1,41751307
2020,41358277,1,41751306
2020,41358279,1,41751308
2020,41358327,1,41747476
2020,41358328,1,41751362
2020,41361852,1,41747480
2020,41361878,1,41747506
2020,41361881,1,41747509
2020,41361892,1,41747519
2020,41358400,1,41751437
2020,41358422,1,41751454
2020,41361934,1,41747565
2020,41361940,1,41747573
2020,41361950,1,41747584
2020,41361951,1,41747585
2020,41361952,1,41747586
2020,41358464,1,41751490
2020,41358465,1,41751491
2020,41358502,1,41751526
2020,41360978,1,41746633
2020,41358031,22,41751038
2020,41358034,1,41751041
2020,41360991,1,41746647
2020,41360992,1,41746648
2020,41360999,1,41746654
2020,41361000,1,41746655
2020,41361005,1,41746660
2020,41361008,1,41746663
2020,41361036,7,41746693
2020,41361039,1,41746697
2020,41361052,1,41746711
2020,41361079,1,41746738
2020,41361116,1,41746770
2020,41361122,1,41746776
2020,41361136,1,41746792
2020,41358087,1,41746814
2020,41361214,1,41746867
2020,41361279,1,41746934
2020,41361302,1,41751139
2020,41361437,1,41747090
2020,41358170,1,41747089
2020,41361490,1,41747143
2020,41361504,3,41751203
2020,41358203,1,41751215
2020,41358206,1,41747218
2020,41338995,1,41733840
2020,41338944,1,41733797
2020,41345830,1,41733804
2020,41338964,1,41724639
2020,41345891,1,41733861
2020,41339008,1,41733881
2020,41345916,1,41733887
2020,41358215,1,41751227
2020,41361617,1,41747265
2020,41361676,1,41751251
2020,41361690,1,41747329
2020,41361739,1,41747374
2020,41358250,1,41751277
2020,41358269,1,41751299
2020,41358271,1,41751301
2020,41361797,1,41747429
2020,41361796,1,41747428
2020,41361808,1,41747441
2020,41358289,1,41751318
2020,41358290,1,41747446
2020,41358293,1,41751322
2020,41358309,1,41751340
2020,41358314,1,41751345
2020,41361844,1,41751355
2020,41361848,1,41747475
2020,41358333,1,41751368
2020,41361861,1,41747489
2020,41358342,1,41747488
2020,41358350,1,41747495
2020,41361870,1,41751391
2020,41361873,1,41747503
2020,41361880,1,41751400
2020,41361885,1,41747512
2020,41358371,1,41751406
2020,41358370,1,41751405
2020,41361889,1,41751414
2020,41358382,1,41747518
2020,41358390,1,41751428
2020,41358392,1,41751430
2020,41358397,1,41747531
2020,41358398,1,41751436
2020,41358401,1,41751438
2020,41358411,1,41751447
2020,41358412,1,41751448
2020,41361928,1,41747557
2020,41358424,1,41751455
2020,41358426,1,41751457
2020,41361946,1,41751469
2020,41358443,1,41751471
2020,41358446,1,41751473
2020,41361956,1,41747591
2020,41361959,1,41747594
2020,41358455,1,41747600
2020,41358458,1,41751481
2020,41361974,1,41747612
2020,41358473,1,41751497
2020,41361981,1,41747618
2020,41358483,1,41751506
2020,41358488,1,41751510
2020,41358489,1,41747625
2020,41358487,1,41751509
2020,41358492,1,41751514
2020,41358512,1,41751535
2020,41358521,1,41751544
2020,41362006,1,41751541
2020,41362022,1,41747663
2020,41358538,1,41751559
2020,41362024,1,41747666
2020,41358543,1,41747671
2020,41362039,1,41751577
2020,41358565,1,41751583
2020,41358572,1,41751590
2020,41358596,1,41751614
2020,41362076,1,41751637
2020,41362078,1,41751642
2020,41358621,1,41751643
2020,41358626,1,41751651
2020,41358630,1,41751656
2020,41362102,1,41751671
2020,41358647,1,41751674
2020,41358659,1,41747748
2020,41358658,1,41751685
2020,41358662,1,41751688
2020,41358675,1,41751699
2020,41358679,1,41751703
2020,41358681,1,41751704
2020,41358689,1,41751713
2020,41362139,1,41747777
2020,41362144,1,41747781
2020,41358700,1,41751723
2020,41358712,1,41747799
2020,41358717,1,41751736
2020,41362167,1,41747809
2020,41362174,1,41751752
2020,41358742,5,41751769
2020,41358846,8,41751871
2020,41358842,1,41751867
2020,41357460,1,41750480
2020,41360573,1,41746219
2020,41360581,1,41750510
2020,41360582,1,41746230
2020,41360601,1,41750536
2020,41357523,1,41746253
2020,41357530,1,41750543
2020,41360625,22,41750562
2020,41360624,1,41750561
2020,41357570,1,41750585
2020,41357576,1,41750591
2020,41357624,1,41750643
2020,41357640,1,41750658
2020,41360709,1,41750676
2020,41357667,1,41750690
2020,41357676,1,41750697
2020,41357694,1,41750713
2020,41360735,1,41750715
2020,41360751,1,41746393
2020,41360764,1,41746406
2020,41360783,1,41746430
2020,41357789,1,41746439
2020,41360792,3,41750802
2020,38195134,1,38255562
2020,38195135,1,38255563
2020,38195136,1,38255564
2020,38195138,1,38255566
2020,38195137,1,38255565
2020,38195139,2,38255567
2020,38195141,1,38255569
2020,38195142,1,38255570
2020,38195143,7,38255571
2020,39982870,1,40296068
