"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,38983668,126212238,1,06-JUN-20,1,"N",27,5,20,"M",1,1,"","","",20,0
2020,41677037,134861983,1,02-SEP-20,2,"N",23,5,26,"F",1,1,"R","","",26,0
2020,41677045,134861999,1,11-SEP-20,1,"N",51,5,27,"M",1,1,"R","","",27,0
2020,41668580,134859201,1,16-SEP-20,1,"N",49,5,25,"M",2,2,"R","","",25,0
2020,41668590,134862046,1,24-SEP-20,1,"N",16,5,31,"M",1,2,"R","","",31,0
2020,39198162,126780276,1,02-JUN-20,1,"N",5,5,12,"M",1,1,"R","R","",12,0
2020,39198227,126780497,1,04-JUN-20,2,"N",51,5,37,"M",2,3,"R","","",37,0
2020,39198280,126780685,1,06-JUN-20,1,"N",6,5,38,"M",3,2,"R","","",38,0
2020,39193529,126781000,1,09-JUN-20,1,"N",27,5,22,"M",3,2,"N","","",22,0
2020,39198401,126781069,1,10-JUN-20,2,"N",23,5,34,"M",1,1,"R","","",34,0
2020,39198423,126781161,1,11-JUN-20,2,"N",5,5,25,"M",1,3,"R","","",25,0
2020,39198445,126781278,1,12-JUN-20,2,"N",51,5,34,"M",1,2,"N","","",34,0
2020,39198501,126781405,1,14-JUN-20,2,"N",51,5,35,"M",1,1,"R","","",35,0
2020,39198524,126781471,1,14-JUN-20,1,"N",51,5,27,"F",1,2,"R","","",27,0
2020,39193572,126781779,1,17-JUN-20,2,"N",6,5,38,"M",1,1,"R","","",38,0
2020,39198626,126781914,1,18-JUN-20,1,"N",51,5,31,"M",1,1,"R","","",31,0
2020,39193575,126781951,1,19-JUN-20,2,"N",23,5,46,"F",1,2,"N","","",46,0
2020,39198642,126781974,1,19-JUN-20,1,"N",27,5,19,"M",1,2,"R","","",19,0
2020,39198718,126782209,1,22-JUN-20,1,"N",40,5,24,"M",2,2,"R","","",24,0
2020,39198724,126782268,1,22-JUN-20,2,"N",51,5,32,"F",0,3,"R","","",32,0
2020,39198742,126782321,1,23-JUN-20,1,"N",16,5,36,"M",1,1,"R","","",36,0
2020,39198753,126782355,1,23-JUN-20,2,"N",5,5,26,"M",1,1,"R","","",26,0
