data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2023,52364142,,51
2023,51192318,,51
2023,50640807,,51
2023,50640808,,51
2023,50640809,,51
2023,50640810,,51
2023,50640811,,51
2023,50640812,,51
2023,50640813,,51
2023,50640814,,51
2023,50640815,,51
2023,50640816,,51
2023,50640817,,51
2023,50640818,,51
2023,50640819,,51
2023,50640820,,51
2023,50640821,,51
2023,50640822,,52
2023,50640823,,51
2023,50640824,,51
2023,50640825,,51
2023,50640826,,51
2023,50640827,,51
2023,50640828,,51
2023,50640829,,51
2023,52364143,,51
2023,50640830,,51
2023,50640831,,51
2023,50640832,,51
2023,50640833,,51
2023,50640834,,51
2023,50640835,,51
2023,50640836,,51
2023,50640837,,51
2023,50640838,,51
2023,50640839,,51
2023,50640840,,51
2023,50640841,,51
2023,50640842,,51
2023,50640843,,51
2023,50640844,,51
2023,51192319,,51
2023,50640845,,51
2023,50640846,,51
2023,50640847,,51
2023,50640848,,51
2023,50640849,,51
2023,50640850,,4
2023,50640851,,51
2023,50640852,,51
2023,50640853,,51
2023,50640854,,51
2023,50640855,,51
2023,50640856,,51
2023,50640857,,51
2023,50640858,,51
2023,50640859,,51
2023,50640860,,51
2023,50640861,,51
2023,50640862,,51
2023,50640863,,51
2023,50640864,,51
2023,50640865,,51
2023,50640866,,3
2023,50640867,,51
2023,51192322,,51
2023,50640869,,51
2023,50640870,,51
2023,50640871,,51
2023,50640872,,51
2023,50640873,,51
2023,50640874,,51
2023,50640875,,51
2023,50640876,,51
2023,50640877,,51
2023,50640878,,51
2023,50640879,,51
2023,53235264,,51
2023,50640881,,51
2023,50640882,,51
2023,50640883,,51
2023,50640884,,52
2023,50640885,,51
2023,50640886,,51
2023,50640887,,51
2023,50640888,,51
2023,50640889,,51
2023,50640890,,51
2023,50640891,,51
2023,50640892,,51
2023,50640893,,51
2023,50640894,,51
2023,50640895,,51
2023,50640896,,51
2023,50640897,,51
2023,50640898,,51
2023,50640899,,51
2023,50640900,,51
2023,50640901,,51
2023,50640902,,51
2023,50640903,,3
2023,50640904,,51
2023,50640905,,51
2023,50640906,,51
2023,51192323,,51
2023,50640907,,51
2023,50640908,,51
2023,50640909,,51
2023,51192324,,51
2023,50640910,,51
2023,50640911,,51
2023,50640912,,51
2023,50640913,,51
2023,50640914,,51
2023,52364144,,51
2023,50640915,,51
2023,50640916,,51
2023,51192325,,3
2023,50640917,,51
2023,50640918,,51
2023,51192326,,51
2023,50640919,,51
2023,50640920,,51
2023,51192327,,51
2023,51561375,,51
2023,50640921,,51
2023,50640922,,51
2023,50640923,,51
2023,50640924,,51
2023,50640925,,3
2023,50640926,,51
2023,50640927,,3
2023,50640928,,51
2023,50640929,,51
2023,51192328,,51
2023,50640930,,51
2023,50640931,,51
2023,50640932,,51
2023,50640933,,51
2023,51192329,,3
2023,50640934,,51
2023,50640935,,51
2023,50640936,,51
2023,50640937,,1
2023,52364145,,51
2023,51192331,,51
2023,50640938,,51
2023,50640939,,51
2023,50640940,,51
2023,51192332,,51
2023,50640942,,51
2023,51192333,,3
2023,50640943,,51
2023,50640944,,51
2023,50640945,,51
2023,50640946,,51
2023,50640947,,52
2023,50640948,,51
2023,50640949,,51
2023,51192334,,51
2023,50640950,,51
2023,51192336,,51
2023,50640951,,51
2023,51192337,,51
2023,51192340,,51
2023,51192341,,51
2023,50640952,,51
2023,51561377,,51
2023,51561378,,51
2023,51192342,,51
2023,50640953,,3
2023,51192346,,51
2023,51192347,,51
2023,51192348,,51
2023,51192349,,51
2023,51192351,,51
2023,51192353,,51
2023,51192354,,51
2023,51192355,,51
2023,51192356,,51
2023,51192357,,51
2023,51192358,,51
2023,51192359,,51
2023,51192360,,51
2023,52364146,,51
2023,51192362,,51
2023,51192363,,52
2023,51192364,,52
2023,51192365,,51
2023,51192366,,51
2023,51561381,,51
2023,51561382,,7
2023,54438448,,51
2023,51561383,,51
2023,51192369,,51
2023,51192370,,51
2023,51192371,,51
2023,51192372,,51
2023,51192373,,51
2023,51192374,,51
2023,51192375,,1
2023,51192376,,51
2023,51192377,,51
2023,51192378,,51
2023,56898009,,51
2023,51192379,,51
2023,51192380,,51
2023,51192381,,51
2023,51950294,,51
2023,51192382,,51
2023,51192383,,51
2023,51192384,,51
2023,51192385,,51
2023,51192386,,51
2023,51192387,,51
2023,51192388,,51
2023,51192389,,51
2023,51192390,,51
2023,51192391,,51
2023,51192392,,51
2023,51561385,,51
2023,51192396,,51
2023,51192397,,51
2023,51192398,,51
2023,51192400,,51
2023,51192401,,51
2023,51192402,,51
2023,51192403,,51
2023,51561386,,51
2023,51561387,,51
2023,51192406,,3
2023,51192408,,51
2023,52364147,,51
2023,51192409,,51
2023,51192410,,51
2023,51192412,,51
2023,51192414,,51
2023,51192415,,51
2023,51192416,,51
2023,51192417,,51
2023,51192418,,51
2023,51192419,,51
2023,51192420,,51
2023,51192422,,51
2023,51192423,,51
2023,51192424,,53
2023,51192425,,51
2023,56333518,,5
2023,51192427,,51
2023,51192428,,51
2023,51192429,,51
2023,51192430,,53
2023,51192431,,51
2023,51192432,,51
2023,51192433,,51
2023,51192434,,51
2023,51561388,,52
2023,51192435,,51
2023,51192436,,51
2023,51192437,,51
2023,51192438,,51
2023,51950295,,3
2023,51192440,,51
2023,51192441,,51
2023,52364148,,1
2023,52364149,,51
2023,51192445,,51
2023,51192446,,51
2023,51192447,,51
2023,51192448,,51
2023,51192451,,51
2023,51192452,,51
2023,51192453,,51
2023,51192454,,51
2023,51192456,,51
2023,51192457,,52
2023,51192458,,51
2023,51192459,,51
2023,51192460,,51
2023,51561392,,51
2023,51561393,,51
2023,51561394,,51
2023,51192465,,51
2023,51192466,,51
2023,51192467,,51
2023,51192468,,51
2023,51192469,,51
2023,51192470,,51
2023,51192471,,51
2023,51192472,,51
2023,51192473,,51
2023,51192474,,52
2023,51192475,,51
2023,51192476,,51
2023,51192477,,51
2023,51192478,,51
2023,51561395,,51
2023,51192480,,51
2023,51192481,,51
2023,51192482,,51
2023,51192483,,51
2023,51192484,,51
2023,51192485,,51
2023,51192486,,51
2023,51192487,,51
2023,56898011,,3
2023,56898012,,51
2023,56898013,,51
2023,52364150,,5
2023,51192495,,51
2023,51192497,,51
2023,51561396,,51
2023,51561398,,51
2023,51192500,,3
2023,51561400,,51
2023,51192501,,9
2023,51192504,,51
2023,51561401,,51
2023,51561403,,51
2023,51192510,,51
2023,51192511,,51
2023,51561404,,51
2023,51561405,,51
2023,51192512,,51
2023,51192513,,51
2023,51561406,,3
2023,51192515,,51
2023,51561407,,3
2023,51561409,,51
2023,51561410,,51
2023,51561411,,51
2023,51950296,,3
2023,51561412,,51
2023,51192519,,51
2023,51561414,,51
2023,51561416,,51
2023,51561417,,52
2023,51561418,,51
2023,51561419,,51
2023,51561420,,51
2023,51561421,,51
2023,51561422,,51
2023,51561423,,51
2023,51561424,,51
2023,51561425,,51
2023,51561426,,7
2023,51561427,,51
2023,51561428,,51
2023,51561429,,51
2023,51561430,,51
2023,51561431,,51
2023,51561432,,51
2023,51561433,,51
2023,51561434,,3
2023,52364151,,51
2023,51561435,,51
2023,51561436,,51
2023,51561437,,51
